attempt,host_max_us,host_median_us,host_min_us,mode,profiled_total_median_us,qo_len,safe_sm_median_us,scna_exp_median_us,scna_hmx_affine_relu_median_us,scna_pack_median_us,scna_reduction_median_us,scna_unpack_median_us,session,temperature_span_c
2,1314.0,1132.5,1094.0,lut-exp,807.5,8,206.5,0.0,0.0,0.0,0.0,0.0,4,1.5
2,1632.0,1581.0,1424.0,scna-hvx-fp16-d8,1272.5,8,497.0,387.0,0.0,0.0,0.0,0.0,4,1.5
2,106895.0,106818.0,106753.0,scna-hmx-fp16-d8-hybrid,106480.0,8,105845.0,105778.0,1472.0,115.0,65.0,103470.0,4,1.5
1,2453.0,2375.0,2345.0,baseline,2086.0,16,1274.5,0.0,0.0,0.0,0.0,0.0,0,2.0
1,1605.0,1497.5,1453.0,lut-exp,1192.0,16,433.0,0.0,0.0,0.0,0.0,0.0,0,2.0
1,2129.0,2104.0,1859.0,scna-hvx-fp16-d8,1767.0,16,959.5,760.5,0.0,0.0,0.0,0.0,0,2.0
1,212806.0,212709.5,212631.0,scna-hmx-fp16-d8-hybrid,212378.0,16,211676.0,211548.5,2946.0,231.0,130.0,206939.0,0,2.0
1,34034.0,33977.0,33914.0,scna-hmx-fp16-d8-two-pass,33647.0,16,33005.5,32825.0,2879.0,233.5,2346.0,26040.5,0,2.0
0,2129.0,2082.0,1998.0,scna-hvx-fp16-d8,1745.0,16,959.0,759.0,0.0,0.0,0.0,0.0,2,2.0
0,212793.0,212712.5,212674.0,scna-hmx-fp16-d8-hybrid,212367.5,16,211675.0,211549.0,2946.0,231.5,130.5,206940.0,2,2.0
0,34078.0,33960.5,33907.0,scna-hmx-fp16-d8-two-pass,33634.5,16,32996.0,32812.0,2881.0,226.0,2348.5,26037.0,2,2.0
0,2448.0,2386.5,2200.0,baseline,2093.0,16,1280.0,0.0,0.0,0.0,0.0,0.0,2,2.0
0,1631.0,1532.5,1482.0,lut-exp,1236.0,16,445.5,0.0,0.0,0.0,0.0,0.0,2,2.0
0,212803.0,212733.0,212627.0,scna-hmx-fp16-d8-hybrid,212363.5,16,211674.5,211549.0,2946.0,230.5,130.0,206939.0,3,1.5
0,34051.0,33989.0,33912.0,scna-hmx-fp16-d8-two-pass,33636.0,16,32996.0,32813.0,2881.5,225.5,2348.0,26036.0,3,1.5
0,2339.0,2242.5,2186.0,baseline,1961.5,16,1253.5,0.0,0.0,0.0,0.0,0.0,3,1.5
0,1621.0,1516.0,1311.0,lut-exp,1181.0,16,425.0,0.0,0.0,0.0,0.0,0.0,3,1.5
0,2160.0,2112.5,1860.0,scna-hvx-fp16-d8,1779.5,16,969.0,763.0,0.0,0.0,0.0,0.0,3,1.5
1,3754.0,3685.0,3578.0,baseline,3335.5,32,2521.5,0.0,0.0,0.0,0.0,0.0,0,0.8000000000000043
1,2120.0,2045.0,1938.0,lut-exp,1704.0,32,854.5,0.0,0.0,0.0,0.0,0.0,0,0.8000000000000043
1,3053.0,2988.5,2928.0,scna-hvx-fp16-d8,2621.5,32,1885.5,1507.0,0.0,0.0,0.0,0.0,0,0.8000000000000043
1,424704.0,424460.5,424404.0,scna-hmx-fp16-d8-hybrid,424079.0,32,423295.0,423018.5,5899.0,462.0,261.5,413811.0,0,0.8000000000000043
1,67403.0,67066.5,67009.0,scna-hmx-fp16-d8-two-pass,66691.5,32,66004.0,65641.0,5760.0,473.5,4680.5,52068.5,0,0.8000000000000043
1,73916.0,73716.0,73518.0,scna-hmx-fp16-d8-two-pass,73282.0,32,72521.5,72111.5,7052.0,490.0,5911.0,55827.5,4,1.6000000000000014
1,4019.0,3974.5,3912.0,baseline,3585.0,32,2697.0,0.0,0.0,0.0,0.0,0.0,4,1.6000000000000014
1,2167.0,2103.0,1971.0,lut-exp,1696.5,32,889.0,0.0,0.0,0.0,0.0,0.0,4,1.6000000000000014
1,3362.0,3266.0,3221.0,scna-hvx-fp16-d8,2901.0,32,2025.5,1617.5,0.0,0.0,0.0,0.0,4,1.6000000000000014
1,456207.0,456127.5,455916.0,scna-hmx-fp16-d8-hybrid,455712.0,32,454840.5,454522.0,7187.0,490.0,279.0,443759.5,4,1.6000000000000014
3,107306.0,107182.0,107148.0,scna-hmx-fp16-d8-hybrid,106857.0,8,106110.0,106035.0,1725.0,114.0,63.0,103469.0,3,1.8999999999999986
3,18353.0,18251.5,17953.0,scna-hmx-fp16-d8-two-pass,17908.5,8,17051.0,16937.5,1704.0,115.0,1428.0,13015.0,3,1.8999999999999986
3,1799.0,1748.5,1639.0,baseline,1425.5,8,645.0,0.0,0.0,0.0,0.0,0.0,3,1.8999999999999986
3,1380.0,1321.5,1241.0,lut-exp,979.5,8,236.0,0.0,0.0,0.0,0.0,0.0,3,1.8999999999999986
3,1878.0,1414.0,1290.0,scna-hvx-fp16-d8,1114.0,8,472.5,381.5,0.0,0.0,0.0,0.0,3,1.8999999999999986
3,1502.0,1412.5,1351.0,lut-exp,1097.0,16,415.0,0.0,0.0,0.0,0.0,0.0,1,1.5
3,2146.0,2041.5,1860.0,scna-hvx-fp16-d8,1742.5,16,957.5,759.0,0.0,0.0,0.0,0.0,1,1.5
3,213372.0,213306.0,213245.0,scna-hmx-fp16-d8-hybrid,212955.0,16,212203.0,212061.5,3451.0,228.0,127.0,206937.0,1,1.5
3,35274.0,34964.0,34887.0,scna-hmx-fp16-d8-two-pass,34617.5,16,34026.0,33847.5,3400.5,230.0,2858.0,26025.0,1,1.5
3,2454.0,2392.5,2356.0,baseline,2093.5,16,1274.0,0.0,0.0,0.0,0.0,0.0,1,1.5
3,35244.0,35119.0,35003.0,scna-hmx-fp16-d8-two-pass,34774.0,16,34051.5,33853.0,3404.0,228.0,2856.0,26025.0,4,1.5
3,2461.0,2393.0,2341.0,baseline,2094.0,16,1274.5,0.0,0.0,0.0,0.0,0.0,4,1.5
3,1635.0,1542.0,1480.0,lut-exp,1246.0,16,449.5,0.0,0.0,0.0,0.0,0.0,4,1.5
3,2171.0,2124.5,2000.0,scna-hvx-fp16-d8,1763.0,16,960.0,760.0,0.0,0.0,0.0,0.0,4,1.5
3,213411.0,213281.0,213122.0,scna-hmx-fp16-d8-hybrid,212929.0,16,212204.0,212061.0,3450.5,227.5,127.0,206937.0,4,1.5
3,2159.0,2010.5,1869.0,lut-exp,1696.0,32,844.0,0.0,0.0,0.0,0.0,0.0,1,1.5
3,3218.0,3177.5,3107.0,scna-hvx-fp16-d8,2792.0,32,1911.0,1512.0,0.0,0.0,0.0,0.0,1,1.5
3,425751.0,425589.0,425415.0,scna-hmx-fp16-d8-hybrid,425181.5,32,424372.0,424080.0,6901.5,455.0,255.0,413837.0,1,1.5
3,69327.0,69219.5,69149.0,scna-hmx-fp16-d8-two-pass,68852.0,32,68083.5,67693.0,6807.5,455.5,5714.0,52044.5,1,1.5
3,3804.0,3733.0,3664.0,baseline,3363.5,32,2529.0,0.0,0.0,0.0,0.0,0.0,1,1.5
3,3241.0,3146.0,3081.0,scna-hvx-fp16-d8,2799.5,32,1915.5,1511.5,0.0,0.0,0.0,0.0,2,2.3000000000000043
3,425740.0,425654.5,425483.0,scna-hmx-fp16-d8-hybrid,425261.5,32,424399.0,424080.0,6902.0,456.0,255.0,413836.5,2,2.3000000000000043
3,69231.0,69094.5,69007.0,scna-hmx-fp16-d8-two-pass,68722.5,32,68038.5,67664.5,6783.0,488.5,5723.0,52047.0,2,2.3000000000000043
3,3838.0,3800.0,3707.0,baseline,3423.0,32,2534.5,0.0,0.0,0.0,0.0,0.0,2,2.3000000000000043
3,2141.0,2115.5,2011.0,lut-exp,1727.0,32,858.5,0.0,0.0,0.0,0.0,0.0,2,2.3000000000000043
3,425770.0,425652.0,425499.0,scna-hmx-fp16-d8-hybrid,425244.0,32,424394.5,424080.0,6901.0,455.5,254.5,413836.0,3,1.1000000000000014
3,69368.0,69222.5,69135.0,scna-hmx-fp16-d8-two-pass,68841.5,32,68062.0,67668.0,6792.0,477.5,5719.5,52042.0,3,1.1000000000000014
3,3843.0,3779.5,3693.0,baseline,3405.5,32,2531.0,0.0,0.0,0.0,0.0,0.0,3,1.1000000000000014
3,2122.0,2026.5,1859.0,lut-exp,1669.5,32,844.0,0.0,0.0,0.0,0.0,0.0,3,1.1000000000000014
3,3204.0,3142.0,3058.0,scna-hvx-fp16-d8,2761.0,32,1908.0,1511.0,0.0,0.0,0.0,0.0,3,1.1000000000000014
